tconst,titleType,originalTitle,primaryTitle,startYear,endYear,runtimeMinutes,genres
tt4724908,tvEpisode,Nicholas Walters v Miguel Marriaga - WBA Super World Featherweight Championship,Nicholas Walters v Miguel Marriaga - WBA Super World Featherweight Championship,2015,,,"Documentary,Sport"
tt9586868,tvEpisode,Episode #3.177,Episode #3.177,1997,,,Talk-Show
tt35051845,short,A La Carte,A La Carte,2024,,5,"Comedy,Short"
tt9746708,tvEpisode,Episode #1.932,Episode #1.932,2009,,,Drama
tt15710340,short,BHP: Change Commitment,BHP: Change Commitment,2020,,2,Short
tt4366732,tvEpisode,Episode dated 31 December 1976,Episode dated 31 December 1976,1976,,,"Family,Music,News"
tt15265560,tvEpisode,Episode #1.159,Episode #1.159,,,,Fantasy
tt1947647,tvEpisode,Episode #1.101,Episode #1.101,1980,,,"Drama,Romance"
tt35066368,tvEpisode,Stelt,Stelt,2023,,,Drama
tt15722280,short,Toyota Concept I,TOYOTA CONCEPT I,2017,,10,"Drama,Short"
tt12843470,tvEpisode,A Brave Leap of Faith,A Brave Leap of Faith,2016,,,"Action,Adventure,Animation"
tt10214256,tvEpisode,Keep Going,Keep Going,2019,,,Comedy
tt10863626,tvEpisode,Immer On: Wie Soziale Medien Und Virtuelle Welten Uns Verändern,Immer On: Wie Soziale Medien Und Virtuelle Welten Uns Verändern,2019,,30,Documentary
tt25621778,tvEpisode,Roland Chrystal,Roland Chrystal,2022,,27,Talk-Show
tt29032692,tvEpisode,Episode dated 1 March 2022,Episode dated 1 March 2022,2022,,,News
tt14493428,tvEpisode,Episode #1.125,Episode #1.125,,,,Drama
tt12146402,tvEpisode,Episode #1.1628,Episode #1.1628,2017,,23,"Drama,Romance"
tt33337445,tvEpisode,Episode #2.174,Episode #2.174,1985,,22,Game-Show
tt35051274,tvEpisode,The Whitest Black Girl You Ever Met (Part III),The Whitest Black Girl You Ever Met (Part III),2025,,,"Comedy,Drama"
tt1218810,tvEpisode,Foo Fighters & Garbage,Foo Fighters & Garbage,1996,,,
tt21887584,tvEpisode,Episode #1.2089,Episode #1.2089,,,,
tt12984464,tvEpisode,Dziadek,Dziadek,2014,,,Drama
tt37470668,tvEpisode,Episode #1.54,Episode #1.54,2025,,,Drama
tt15200282,tvEpisode,Episode #1.583,Episode #1.583,,,,
tt23805656,tvEpisode,Episode dated 16 November 2022,Episode dated 16 November 2022,2022,,50,Talk-Show
